datetime,symbol,open,high,low,close,volume
2013-10-14 13:30:00,INDEX:R3TW,71.11,71.11,71.11,71.11,0.0
2013-10-15 13:30:00,INDEX:R3TW,64.46,67.68,59.09,59.17,0.0
2013-10-16 13:30:00,INDEX:R3TW,64.67,71.22,64.67,70.68,0.0
2013-10-17 13:30:00,INDEX:R3TW,68.47,77.44,68.47,77.36,0.0
2013-10-18 13:30:00,INDEX:R3TW,80.18,82.59,78.72,82.59,0.0
2013-10-21 13:30:00,INDEX:R3TW,80.64,81.93,79.55,80.02,0.0
2013-10-22 13:30:00,INDEX:R3TW,82.4,83.76,80.46,82.03,0.0
2013-10-23 13:30:00,INDEX:R3TW,77.06,77.91,75.19,76.79,0.0
2013-10-24 13:30:00,INDEX:R3TW,75.97,79.21,75.29,78.8,0.0
2013-10-25 13:30:00,INDEX:R3TW,79.0,79.07,75.43,78.05,0.0
2013-10-28 13:30:00,INDEX:R3TW,77.09,77.6,74.54,76.88,0.0
2013-10-29 13:30:00,INDEX:R3TW,77.69,77.69,74.73,77.14,0.0
2013-10-30 13:30:00,INDEX:R3TW,76.15,76.15,66.38,67.26,0.0
2013-10-31 13:30:00,INDEX:R3TW,66.82,66.82,60.27,60.27,0.0
2013-11-01 13:30:00,INDEX:R3TW,57.47,57.75,48.65,55.87,0.0
2013-11-04 14:30:00,INDEX:R3TW,56.45,61.6,56.14,61.56,0.0
2013-11-05 14:30:00,INDEX:R3TW,53.83,56.52,51.92,53.81,0.0
2013-11-06 14:30:00,INDEX:R3TW,56.4,57.12,49.69,51.12,0.0
2013-11-07 14:30:00,INDEX:R3TW,53.24,53.24,35.46,35.46,0.0
2013-11-08 14:30:00,INDEX:R3TW,39.35,51.19,39.35,51.16,0.0
2013-11-11 14:30:00,INDEX:R3TW,47.81,50.4,47.81,49.41,0.0
2013-11-12 14:30:00,INDEX:R3TW,46.79,48.05,43.61,47.81,0.0
2013-11-13 14:30:00,INDEX:R3TW,43.34,56.24,43.34,56.21,0.0
2013-11-14 14:30:00,INDEX:R3TW,54.33,56.48,52.28,55.87,0.0
2013-11-15 14:30:00,INDEX:R3TW,55.73,60.75,55.63,60.71,0.0
2013-11-18 14:30:00,INDEX:R3TW,60.03,62.18,54.23,55.17,0.0
2013-11-19 14:30:00,INDEX:R3TW,52.88,57.8,47.49,49.69,0.0
2013-11-20 14:30:00,INDEX:R3TW,49.41,53.48,44.56,47.13,0.0
2013-11-21 14:30:00,INDEX:R3TW,51.98,62.73,51.98,62.72,0.0
2013-11-22 14:30:00,INDEX:R3TW,61.46,66.17,61.39,65.82,0.0
2013-11-25 14:30:00,INDEX:R3TW,67.19,68.55,65.48,65.75,0.0
2013-11-26 14:30:00,INDEX:R3TW,67.12,71.59,66.33,69.94,0.0
2013-11-27 14:30:00,INDEX:R3TW,70.01,73.33,69.84,73.15,0.0
2013-11-29 14:30:00,INDEX:R3TW,74.58,76.22,74.06,74.06,0.0
2013-12-02 14:30:00,INDEX:R3TW,70.03,70.85,61.82,62.36,0.0
2013-12-03 14:30:00,INDEX:R3TW,60.13,64.34,54.0,57.6,0.0
2013-12-04 14:30:00,INDEX:R3TW,52.15,60.58,43.97,53.63,0.0
2013-12-05 14:30:00,INDEX:R3TW,49.0,52.91,49.0,50.73,0.0
2013-12-06 14:30:00,INDEX:R3TW,60.5,65.7,58.99,63.54,0.0
2013-12-09 14:30:00,INDEX:R3TW,63.44,64.23,57.34,61.11,0.0
2013-12-10 14:30:00,INDEX:R3TW,58.41,59.57,49.16,49.19,0.0
2013-12-11 14:30:00,INDEX:R3TW,47.0,47.0,28.24,29.35,0.0
2013-12-12 14:30:00,INDEX:R3TW,29.52,33.98,27.26,30.34,0.0
2013-12-13 14:30:00,INDEX:R3TW,34.53,36.86,28.97,34.33,0.0
2013-12-16 14:30:00,INDEX:R3TW,42.6,47.68,41.64,47.61,0.0
2013-12-17 14:30:00,INDEX:R3TW,42.84,46.48,39.31,45.66,0.0
2013-12-18 14:30:00,INDEX:R3TW,45.69,61.39,39.86,61.39,0.0
2013-12-19 14:30:00,INDEX:R3TW,56.41,56.41,50.89,51.51,0.0
2013-12-20 14:30:00,INDEX:R3TW,57.55,69.84,57.52,69.46,0.0
2013-12-23 14:30:00,INDEX:R3TW,74.81,76.94,73.96,76.69,0.0
2013-12-24 14:30:00,INDEX:R3TW,77.89,81.36,77.89,80.99,0.0
2013-12-26 14:30:00,INDEX:R3TW,83.7,83.7,80.68,81.04,0.0
2013-12-27 14:30:00,INDEX:R3TW,81.59,81.59,77.91,80.32,0.0
2013-12-30 14:30:00,INDEX:R3TW,80.97,81.69,79.84,79.84,0.0
2013-12-31 14:30:00,INDEX:R3TW,81.28,83.24,80.73,81.32,0.0
2014-01-02 14:30:00,INDEX:R3TW,73.64,75.64,64.36,67.49,0.0
2014-01-03 14:30:00,INDEX:R3TW,70.07,71.82,67.32,71.08,0.0
2014-01-06 14:30:00,INDEX:R3TW,68.6,70.46,60.2,60.2,0.0
2014-01-07 14:30:00,INDEX:R3TW,67.26,72.77,66.26,70.12,0.0
2014-01-08 14:30:00,INDEX:R3TW,67.46,67.53,60.24,64.02,0.0
2014-01-09 14:30:00,INDEX:R3TW,64.64,64.64,56.41,61.51,0.0
2014-01-10 14:30:00,INDEX:R3TW,60.68,63.4,58.58,63.39,0.0
2014-01-13 14:30:00,INDEX:R3TW,59.26,59.26,42.01,45.76,0.0
2014-01-14 14:30:00,INDEX:R3TW,48.31,57.71,48.2,57.71,0.0
2014-01-15 14:30:00,INDEX:R3TW,59.05,62.25,59.05,61.15,0.0
2014-01-16 14:30:00,INDEX:R3TW,58.02,59.57,55.95,59.36,0.0
2014-01-17 14:30:00,INDEX:R3TW,57.74,58.43,52.16,53.78,0.0
2014-01-21 14:30:00,INDEX:R3TW,59.53,60.26,53.4,59.52,0.0
2014-01-22 14:30:00,INDEX:R3TW,59.8,61.72,57.59,61.3,0.0
2014-01-23 14:30:00,INDEX:R3TW,55.03,55.03,48.58,52.89,0.0
2014-01-24 14:30:00,INDEX:R3TW,42.59,43.07,30.66,31.87,0.0
2014-01-27 14:30:00,INDEX:R3TW,32.9,32.9,20.08,22.85,0.0
2014-01-28 14:30:00,INDEX:R3TW,25.88,30.54,25.37,30.49,0.0
2014-01-29 14:30:00,INDEX:R3TW,25.56,26.83,20.14,20.86,0.0
2014-01-30 14:30:00,INDEX:R3TW,27.07,35.56,27.07,33.22,0.0
2014-01-31 14:30:00,INDEX:R3TW,27.5,32.12,26.77,28.19,0.0
2014-02-03 14:30:00,INDEX:R3TW,27.33,27.33,13.56,14.25,0.0
2014-02-04 14:30:00,INDEX:R3TW,14.77,19.5,14.77,18.34,0.0
2014-02-05 14:30:00,INDEX:R3TW,16.58,17.24,12.75,15.73,0.0
2014-02-06 14:30:00,INDEX:R3TW,19.43,22.58,19.43,22.18,0.0
2014-02-07 14:30:00,INDEX:R3TW,28.62,30.66,23.53,30.66,0.0
2014-02-10 14:30:00,INDEX:R3TW,29.8,34.31,28.52,34.31,0.0
2014-02-11 14:30:00,INDEX:R3TW,37.29,46.46,37.15,45.09,0.0
2014-02-12 14:30:00,INDEX:R3TW,51.54,52.68,45.99,48.42,0.0
2014-02-13 14:30:00,INDEX:R3TW,48.18,61.03,48.18,61.01,0.0
2014-02-14 14:30:00,INDEX:R3TW,59.52,65.34,59.52,64.51,0.0
2014-02-18 14:30:00,INDEX:R3TW,68.87,73.55,66.34,73.03,0.0
2014-02-19 14:30:00,INDEX:R3TW,72.79,75.42,62.91,62.93,0.0
2014-02-20 14:30:00,INDEX:R3TW,66.33,74.16,65.32,73.6,0.0
2014-02-21 14:30:00,INDEX:R3TW,76.27,77.52,74.22,74.32,0.0
2014-02-24 14:30:00,INDEX:R3TW,78.24,84.03,78.24,80.18,0.0
2014-02-25 14:30:00,INDEX:R3TW,79.31,81.43,76.54,76.78,0.0
2014-02-26 14:30:00,INDEX:R3TW,79.56,82.99,77.3,79.9,0.0
2014-02-27 14:30:00,INDEX:R3TW,78.62,82.68,76.99,82.64,0.0
2014-02-28 14:30:00,INDEX:R3TW,83.85,85.17,79.2,81.31,0.0
2014-03-03 14:30:00,INDEX:R3TW,75.65,77.43,69.47,75.58,0.0
2014-03-04 14:30:00,INDEX:R3TW,83.98,87.98,83.98,86.79,0.0
2014-03-05 14:30:00,INDEX:R3TW,85.05,85.33,83.35,84.56,0.0
2014-03-06 14:30:00,INDEX:R3TW,84.18,84.25,81.33,82.06,0.0
2014-03-07 14:30:00,INDEX:R3TW,80.15,80.15,75.94,77.78,0.0
2014-03-10 13:30:00,INDEX:R3TW,74.23,75.13,70.16,74.13,0.0
2014-03-11 13:30:00,INDEX:R3TW,72.32,74.61,59.66,62.37,0.0
2014-03-12 13:30:00,INDEX:R3TW,53.68,63.03,53.68,63.03,0.0
2014-03-13 13:30:00,INDEX:R3TW,61.99,61.99,45.09,47.07,0.0
2014-03-14 13:30:00,INDEX:R3TW,48.5,51.66,47.0,50.2,0.0
2014-03-17 13:30:00,INDEX:R3TW,59.04,60.43,53.75,54.53,0.0
2014-03-18 13:30:00,INDEX:R3TW,55.72,65.84,55.72,65.37,0.0
2014-03-19 13:30:00,INDEX:R3TW,63.32,64.75,51.21,55.11,0.0
2014-03-20 13:30:00,INDEX:R3TW,51.32,56.85,48.5,56.19,0.0
