Date,open,high,low,close,volume,dividends,stock splits,capital gains
2024-09-12 00:00:00-04:00,38.30026379637577,39.169638555115846,38.30026379637577,39.07410430908203,1079800,0.0,0.0,0.0
2024-09-13 00:00:00-04:00,39.16008379896296,39.77151167658327,39.16008379896296,39.50400924682617,2502700,0.0,0.0,0.0
2024-09-16 00:00:00-04:00,40.0485636333694,40.06767121066978,39.656867409705924,39.933921813964844,929000,0.0,0.0,0.0
2024-09-17 00:00:00-04:00,39.88615620485453,40.44026503437666,39.88615620485453,40.06767272949219,988100,0.0,0.0,0.0
2024-09-18 00:00:00-04:00,40.23963213887912,41.61534842545791,40.000792910725565,40.27784729003906,1422500,0.0,0.0,0.0
2024-09-19 00:00:00-04:00,41.815970154028506,41.9688271056863,41.538915790274636,41.72043228149414,3517000,0.0,0.0,0.0
2024-09-20 00:00:00-04:00,41.663114152086735,41.749096417129046,41.08989783700558,41.46249008178711,1992000,0.0,0.0,0.0
2024-09-23 00:00:00-04:00,41.54847164270593,42.24588171649794,41.54847164270593,41.739540100097656,929800,0.0,0.0,0.0
2024-09-24 00:00:00-04:00,43.75534411446079,44.87311355248859,43.72668457443865,44.71070098876953,7453400,0.0,0.0,0.0
2024-09-25 00:00:00-04:00,44.35721839895744,44.42409308624518,43.88909194354614,43.917755126953125,1410100,0.0,0.0,0.0
2024-09-26 00:00:00-04:00,45.71382765878395,46.7742744345597,45.694723727247016,46.23927688598633,3377400,0.0,0.0,0.0
2024-09-27 00:00:00-04:00,46.07686434277041,46.41124145524415,45.62784541901302,45.91445541381836,1505700,0.0,0.0,0.0
2024-09-30 00:00:00-04:00,45.83802390297462,45.83802390297462,44.77757715443261,45.15972137451172,3018900,0.0,0.0,0.0
2024-10-01 00:00:00-04:00,45.51320388395527,46.06731265658458,45.06418495747272,45.943115234375,1575800,0.0,0.0,0.0
2024-10-02 00:00:00-04:00,46.04820656451029,46.71695717067075,45.9431167149768,46.40168762207031,716200,0.0,0.0,0.0
2024-10-03 00:00:00-04:00,44.91132787851398,45.350794838039995,44.500527749605126,44.62472152709961,3085500,0.0,0.0,0.0
2024-10-04 00:00:00-04:00,45.92400388752271,45.9908785760528,45.41766591882427,45.62784194946289,1869100,0.0,0.0,0.0
2024-10-07 00:00:00-04:00,45.8284714073086,45.91445367361189,45.3794525005695,45.771148681640625,1622300,0.0,0.0,0.0
2024-10-08 00:00:00-04:00,44.2425817352477,44.25213370122763,43.36365144479489,43.698028564453125,2045400,0.0,0.0,0.0
2024-10-09 00:00:00-04:00,43.21079279636954,43.72668640474582,42.92418645095963,43.564273834228516,722800,0.0,0.0,0.0
2024-10-10 00:00:00-04:00,43.564273750179964,44.28079143452106,43.53561420901349,44.20436477661133,508100,0.0,0.0,0.0
2024-10-11 00:00:00-04:00,44.003739458126404,44.87311407815577,44.003739458126404,44.75846862792969,556100,0.0,0.0,0.0
2024-10-14 00:00:00-04:00,43.64070634952925,44.49097346326452,43.6311507390392,44.080169677734375,1117600,0.0,0.0,0.0
2024-10-15 00:00:00-04:00,43.22990036010742,43.354097779363315,42.81909659552036,43.22990036010742,2531300,0.0,0.0,0.0
2024-10-16 00:00:00-04:00,43.22989959287441,43.9273096904152,43.22989959287441,43.82221984863281,1332000,0.0,0.0,0.0
