Date,close,high,low,open,volume,dividends,stock splits,capital gains
2024-09-25 00:00:00-04:00,,,,,0,0.408,0.0,0.0
2024-09-26 00:00:00-04:00,88.26339721679688,88.43806122949239,88.05962376918767,88.18576712155145,1387400,0.0,0.0,0.0
2024-09-27 00:00:00-04:00,88.37014770507812,88.66125689674006,88.31192882803145,88.4283665821248,1252200,0.0,0.0,0.0
2024-09-30 00:00:00-04:00,88.60301971435547,88.64183476201536,87.91406927562244,88.37984244432778,1477500,0.0,0.0,0.0
2024-10-01 00:00:00-04:00,88.44776916503906,88.61272756935774,88.11784495318815,88.47687860071723,2065400,0.0,0.0,0.0
2024-10-02 00:00:00-04:00,88.2828140258789,88.41866299954383,87.88496531499322,88.12755382556826,2149800,0.0,0.0,0.0
2024-10-03 00:00:00-04:00,87.98200988769531,88.23430404213025,87.79764763152896,88.08874943752491,2002200,0.0,0.0,0.0
2024-10-04 00:00:00-04:00,88.39926147460938,88.4283709145589,87.83645429153658,88.1372691118491,1333700,0.0,0.0,0.0
2024-10-07 00:00:00-04:00,87.43860626220703,88.17607743186828,87.31246289765492,88.17607743186828,1523300,0.0,0.0,0.0
2024-10-08 00:00:00-04:00,88.14695739746094,88.25369693406645,87.68119160428574,87.68119160428574,2067800,0.0,0.0,0.0
2024-10-09 00:00:00-04:00,88.91354370117188,89.01058503394337,88.0208197041026,88.08874419511409,1699800,0.0,0.0,0.0
2024-10-10 00:00:00-04:00,88.64183807373047,89.03968677469823,88.43806461831295,88.92324162736809,1154600,0.0,0.0,0.0
2024-10-11 00:00:00-04:00,89.28227233886719,89.29197054841508,88.77768412026795,88.77768412026795,1966300,0.0,0.0,0.0
2024-10-14 00:00:00-04:00,89.87418365478516,89.94210813375136,89.25315773189037,89.35019164424024,969700,0.0,0.0,0.0
2024-10-15 00:00:00-04:00,89.50544738769531,90.31084295297791,89.45693413152014,89.7480358782108,1531900,0.0,0.0,0.0
2024-10-16 00:00:00-04:00,89.95182800292969,90.07797878225301,89.41813765488746,89.54428103099605,1257600,0.0,0.0,0.0
2024-10-17 00:00:00-04:00,90.09738159179688,90.24293619533552,89.92271754819345,90.16530608635296,901300,0.0,0.0,0.0
2024-10-18 00:00:00-04:00,90.11679077148438,90.25263975750745,89.85479101042951,90.19441347548721,1207500,0.0,0.0,0.0
2024-10-21 00:00:00-04:00,89.709228515625,90.17500171472558,89.4569417941921,90.06826217749865,706500,0.0,0.0,0.0
2024-10-22 00:00:00-04:00,89.35990142822266,89.50545601720799,88.96206011509095,89.19494301553912,904100,0.0,0.0,0.0
2024-10-23 00:00:00-04:00,89.175537109375,89.39871439115537,88.88442793820245,89.12701644644166,2038500,0.0,0.0,0.0
2024-10-24 00:00:00-04:00,88.8553237915039,89.28228196045119,88.81650873948924,89.0882067003778,1357800,0.0,0.0,0.0
2024-10-25 00:00:00-04:00,88.30221557617188,89.24346015748701,88.25369491402039,89.01057726622989,1035000,0.0,0.0,0.0
2024-10-28 00:00:00-04:00,88.44776916503906,88.74857653799825,88.38954289046916,88.52539926232322,1571900,0.0,0.0,0.0
2024-10-29 00:00:00-04:00,88.3604507446289,88.71948446241153,88.2925262470176,88.35075253298086,1353600,0.0,0.0,0.0
2024-10-30 00:00:00-04:00,87.952880859375,88.34102391747406,87.92377142557986,88.15665429915407,1180100,0.0,0.0,0.0
2024-10-31 00:00:00-04:00,87.32215881347656,87.95289042609117,87.29304937651517,87.76852078771712,1595200,0.0,0.0,0.0
2024-11-01 00:00:00-04:00,87.30274963378906,87.87525493414316,87.26393458581724,87.59385138875756,1232500,0.0,0.0,0.0
2024-11-04 00:00:00-05:00,87.27364349365234,87.53563582333692,86.96313050136773,87.34156797936417,1222800,0.0,0.0,0.0
2024-11-05 00:00:00-05:00,88.04022979736328,88.05963362173895,87.16690963617428,87.27364917827595,1730100,0.0,0.0,0.0
2024-11-06 00:00:00-05:00,89.709228515625,89.8256736662036,89.07850430882894,89.55397571806736,3170600,0.0,0.0,0.0
2024-11-07 00:00:00-05:00,89.8838882446289,90.12647674433144,89.68982040615226,90.01003900253086,3401400,0.0,0.0,0.0
2024-11-08 00:00:00-05:00,90.69898986816406,90.91246893339293,90.08766210806077,90.1167789468576,1849300,0.0,0.0,0.0
2024-11-11 00:00:00-05:00,90.5728530883789,91.15507150275644,90.54374364830296,90.77663397533983,1678000,0.0,0.0,0.0
2024-11-12 00:00:00-05:00,90.37876892089844,90.74750076739076,90.18470108657897,90.63106302808441,1464800,0.0,0.0,0.0
2024-11-13 00:00:00-05:00,90.37876892089844,90.53402911092468,90.14588603907241,90.40787835572503,1612800,0.0,0.0,0.0
2024-11-14 00:00:00-05:00,89.39871215820312,90.32055290841512,89.3598971094687,90.31084729542812,1377500,0.0,0.0,0.0
2024-11-15 00:00:00-05:00,88.44776916503906,89.2628629768821,88.35073524504064,89.17553466984758,4372500,0.0,0.0,0.0
2024-11-18 00:00:00-05:00,88.7776870727539,88.9232416561603,88.41866082399359,88.53509856814779,1739400,0.0,0.0,0.0
2024-11-19 00:00:00-05:00,88.66126251220703,88.78740588820236,88.00142138543387,88.34104386174033,3766600,0.0,0.0,0.0
2024-11-20 00:00:00-05:00,89.24346923828125,89.27257867724866,88.48659421227106,88.71947712722472,1600400,0.0,0.0,0.0
2024-11-21 00:00:00-05:00,90.20411682128906,90.28174692655419,89.07850990780192,89.42783797828069,1744500,0.0,0.0,0.0
2024-11-22 00:00:00-05:00,90.68927764892578,90.81542099500226,90.29143638624582,90.37876468663423,1633600,0.0,0.0,0.0
2024-11-25 00:00:00-05:00,91.09683990478516,91.36854527047684,90.78632689006604,91.13565495702683,2441800,0.0,0.0,0.0
2024-11-26 00:00:00-05:00,91.76638793945312,91.76638793945312,91.05802618133062,91.155067514958,1750400,0.0,0.0,0.0
2024-11-27 00:00:00-05:00,91.6402359008789,92.01867337593886,91.6014208517428,91.84400935643322,1441600,0.0,0.0,0.0
2024-11-29 00:00:00-05:00,91.74697875976562,91.94104660926479,91.64993743180213,91.82460145763694,1104600,0.0,0.0,0.0
2024-12-02 00:00:00-05:00,91.36854553222656,91.75668124932672,91.08714195507898,91.74698303864919,1560300,0.0,0.0,0.0
2024-12-03 00:00:00-05:00,91.03861999511719,91.39765367186841,90.95129168097492,91.17446897481459,1864800,0.0,0.0,0.0
2024-12-04 00:00:00-05:00,91.28119659423828,91.33941546272916,90.91246475510738,91.2132721132612,864000,0.0,0.0,0.0
2024-12-05 00:00:00-05:00,91.0871353149414,91.35883325839077,91.02890903904961,91.17446362395854,1288800,0.0,0.0,0.0
2024-12-06 00:00:00-05:00,90.75720977783203,91.2909074470111,90.68928529295593,91.25209239805139,970300,0.0,0.0,0.0
2024-12-09 00:00:00-05:00,89.9615249633789,90.8930639824217,89.94212113938832,90.7863244424384,1074600,0.0,0.0,0.0
2024-12-10 00:00:00-05:00,89.66070556640625,90.00032796487638,89.40841146902285,89.90329405148678,1896500,0.0,0.0,0.0
2024-12-11 00:00:00-05:00,89.46663665771484,89.9130060166289,89.39871217322158,89.78685525741744,1772000,0.0,0.0,0.0
2024-12-12 00:00:00-05:00,89.21435546875,89.6316080145292,89.21435546875,89.37931388370099,1566600,0.0,0.0,0.0
2024-12-13 00:00:00-05:00,88.9426498413086,89.34049112558901,88.9426498413086,89.34049112558901,809500,0.0,0.0,0.0
2024-12-16 00:00:00-05:00,88.58362579345703,89.204651819003,88.47688625126499,89.03969340042046,1092800,0.0,0.0,0.0
2024-12-17 00:00:00-05:00,88.19174194335938,88.53292658681877,88.07476116391582,88.32821580074314,1847000,0.418,0.0,0.0
2024-12-18 00:00:00-05:00,86.3200912475586,88.29896955159339,86.3200912475586,88.25022570245012,2250000,0.0,0.0,0.0
2024-12-19 00:00:00-05:00,86.35908508300781,87.14869237320745,86.33959200397709,86.76851411533157,4581200,0.0,0.0,0.0
2024-12-20 00:00:00-05:00,87.18769073486328,87.69459262731954,86.04714846161725,86.26160952901853,1947600,0.0,0.0,0.0
2024-12-23 00:00:00-05:00,87.158447265625,87.2461772818297,86.4760704669816,86.99272261734683,1568100,0.0,0.0,0.0
2024-12-24 00:00:00-05:00,87.80181121826172,87.84080481041882,87.10969169132461,87.19742169572764,566100,0.0,0.0,0.0
2024-12-26 00:00:00-05:00,87.84081268310547,87.99677962844505,87.48012750127657,87.49962801773647,841100,0.0,0.0,0.0
2024-12-27 00:00:00-05:00,87.41189575195312,87.82131737467569,86.97323079007442,87.48988294788171,866200,0.0,0.0,0.0
2024-12-30 00:00:00-05:00,86.4858169555664,86.78800802567828,86.02765150264328,86.78800802567828,1285500,0.0,0.0,0.0
2024-12-31 00:00:00-05:00,86.5540542602539,86.83675225236179,86.21286959297471,86.7392719813203,1619900,0.0,0.0,0.0
2025-01-02 00:00:00-05:00,86.42733764648438,87.13895037622164,86.04715191529733,86.92448930021253,1399200,0.0,0.0,0.0
2025-01-03 00:00:00-05:00,86.85624694824219,87.09020109054974,86.45657559835297,86.75876667538638,1276900,0.0,0.0,0.0
2025-01-06 00:00:00-05:00,86.37857818603516,87.03170411789506,86.2518545900416,87.02195386058257,1739900,0.0,0.0,0.0
2025-01-07 00:00:00-05:00,86.22261810302734,86.94398851832045,86.00816446749343,86.55405997115875,1638000,0.0,0.0,0.0
2025-01-08 00:00:00-05:00,86.75875854492188,86.77825162275903,85.92041488984349,86.34933697493496,1745800,0.0,0.0,0.0
2025-01-10 00:00:00-05:00,85.47200775146484,86.3883386784565,85.40377081672726,86.10564068103848,1504200,0.0,0.0,0.0
2025-01-13 00:00:00-05:00,85.94966125488281,86.01789818561926,85.10157474962524,85.12106782814952,2480500,0.0,0.0,0.0
2025-01-14 00:00:00-05:00,86.40782928466797,86.42732980104512,85.7741963732323,86.23236182361298,3256100,0.0,0.0,0.0
2025-01-15 00:00:00-05:00,86.93423461914062,87.2754192946448,86.64178636169811,87.2754192946448,2063100,0.0,0.0,0.0
2025-01-16 00:00:00-05:00,87.45087432861328,87.49961817701308,86.74900456035179,86.89522866828412,1523900,0.0,0.0,0.0
2025-01-17 00:00:00-05:00,87.58735656738281,87.97728508012223,87.56786348851634,87.83106095818647,1209900,0.0,0.0,0.0
2025-01-21 00:00:00-05:00,88.41595458984375,88.45494818686488,87.92854578298184,87.92854578298184,1479200,0.0,0.0,0.0
2025-01-22 00:00:00-05:00,88.35746002197266,88.63040773947618,88.29897335029834,88.51343439612754,1265200,0.0,0.0,0.0
2025-01-23 00:00:00-05:00,88.65966033935547,88.67916085679619,87.99678405446838,88.29898257665327,1605400,0.0,0.0,0.0
2025-01-24 00:00:00-05:00,88.64991760253906,88.8448781535227,88.55242988977896,88.66941068273012,840200,0.0,0.0,0.0
2025-01-27 00:00:00-05:00,89.58573913574219,89.61498247384729,88.21124274665779,88.21124274665779,1863200,0.0,0.0,0.0
2025-01-28 00:00:00-05:00,89.33229064941406,89.89768668274077,89.20556702977956,89.42002810705995,2053000,0.0,0.0,0.0
2025-01-29 00:00:00-05:00,89.21530151367188,89.6247305489735,89.08857790588083,89.44926308734935,1415900,0.0,0.0,0.0
2025-01-30 00:00:00-05:00,90.0731430053711,90.1998666093111,89.43951011113568,89.63447064600764,1712900,0.0,0.0,0.0
2025-01-31 00:00:00-05:00,89.63447570800781,90.39483968639158,89.6052323698523,90.18037862356037,2082400,0.0,0.0,0.0
2025-02-03 00:00:00-05:00,90.04390716552734,90.29735439450828,88.8351279494269,88.88387180583693,2051500,0.0,0.0,0.0
2025-02-04 00:00:00-05:00,90.01465606689453,90.1511373769001,89.60523444868267,89.60523444868267,1576100,0.0,0.0,0.0
2025-02-05 00:00:00-05:00,90.76526641845703,90.80426001453716,90.02440296747037,90.199870431197,1225400,0.0,0.0,0.0
2025-02-06 00:00:00-05:00,90.77501678466797,91.05771477863392,90.39483851901981,91.05771477863392,1026300,0.0,0.0,0.0
2025-02-07 00:00:00-05:00,90.37533569335938,90.99921834090769,90.34609235632865,90.83350113955501,1027900,0.0,0.0,0.0
2025-02-10 00:00:00-05:00,90.7555160522461,90.82375298598822,90.42408164186084,90.7555160522461,965100,0.0,0.0,0.0
2025-02-11 00:00:00-05:00,90.88224792480469,90.88224792480469,90.3071016746631,90.44357554338794,1051300,0.0,0.0,0.0
2025-02-12 00:00:00-05:00,90.5118179321289,90.726279006554,90.15114015902172,90.15114015902172,1487400,0.0,0.0,0.0
2025-02-13 00:00:00-05:00,91.3306655883789,91.35015866846426,90.50206465802012,90.68728238653819,1871700,0.0,0.0,0.0
2025-02-14 00:00:00-05:00,90.60928344726562,91.4086334979856,90.5995406271199,91.31115323565727,1292900,0.0,0.0,0.0
2025-02-18 00:00:00-05:00,90.81401062011719,90.8335036995978,90.36558798211496,90.56055596326115,1154800,0.0,0.0,0.0
2025-02-19 00:00:00-05:00,91.38915252685547,91.38915252685547,90.76526984058694,90.87250037453323,1068000,0.0,0.0,0.0
2025-02-20 00:00:00-05:00,91.36965942382812,91.38915250396425,90.82375649552868,91.06746090220592,780300,0.0,0.0,0.0
2025-02-21 00:00:00-05:00,90.7165298461914,91.2526825387473,90.68728650610083,91.14545200023612,1873100,0.0,0.0,0.0
2025-02-24 00:00:00-05:00,91.16492462158203,91.44762257446096,90.83349025857929,90.96021384962147,1512500,0.0,0.0,0.0
2025-02-25 00:00:00-05:00,91.71084594726562,91.7888331439127,91.22343712412403,91.22343712412403,1961000,0.0,0.0,0.0
2025-02-26 00:00:00-05:00,91.0284652709961,91.69134153983958,90.86274806310226,91.63285486346955,1448500,0.0,0.0,0.0
2025-02-27 00:00:00-05:00,90.96021270751953,91.6718327092475,90.89197578438947,90.89197578438947,2529800,0.0,0.0,0.0
2025-02-28 00:00:00-05:00,92.18849182128906,92.23723567180075,90.78475222394738,91.21367430919453,2363600,0.0,0.0,0.0
2025-03-03 00:00:00-05:00,92.04227447509766,92.72465124610098,91.59385927903328,92.26648579176381,2717800,0.0,0.0,0.0
2025-03-04 00:00:00-05:00,90.97972869873047,92.10077042995195,90.79451097418217,91.87655910880042,3284200,0.0,0.0,0.0
2025-03-05 00:00:00-05:00,91.3306655883789,91.5548694770677,90.43382772181897,90.74576906406253,1750700,0.0,0.0,0.0
2025-03-06 00:00:00-05:00,90.73602294921875,91.18443814758852,90.25835697588028,90.70677961151803,2193100,0.0,0.0,0.0
2025-03-07 00:00:00-05:00,91.45738220214844,91.67184325301427,90.39483464301745,90.58979517802221,4829600,0.0,0.0,0.0
2025-03-10 00:00:00-04:00,90.80425262451172,91.89604347682919,90.22910642572243,90.95047673859493,3969500,0.0,0.0,0.0
2025-03-11 00:00:00-04:00,89.5369873046875,90.64827867729501,89.27378984791937,90.64827867729501,5607500,0.0,0.0,0.0
2025-03-12 00:00:00-04:00,88.8448715209961,89.68321521472384,88.45494301086984,89.68321521472384,5758900,0.0,0.0,0.0
2025-03-13 00:00:00-04:00,88.65966033935547,89.23480660756417,88.39646285205201,88.7863913909153,2589900,0.0,0.0,0.0
2025-03-14 00:00:00-04:00,89.6734619140625,89.80019295198244,88.67915131238227,88.85461876412202,4078100,0.0,0.0,0.0
2025-03-17 00:00:00-04:00,90.90174102783203,91.09670157255555,89.47850822699981,89.55649541979643,2361400,0.0,0.0,0.0
2025-03-18 00:00:00-04:00,90.42730712890625,90.77946944932039,90.1338360408012,90.77946944932039,2836600,0.325,0.0,0.0
2025-03-19 00:00:00-04:00,90.83816528320312,91.0533764302781,90.24144618023347,90.54469418023176,2413700,0.0,0.0,0.0
2025-03-20 00:00:00-04:00,90.52513122558594,90.90663917432748,90.19253015090251,90.49578560849505,2081800,0.0,0.0,0.0
2025-03-21 00:00:00-04:00,90.40773010253906,90.4175144614515,89.8305798024493,90.21208770396468,1780300,0.0,0.0,0.0
2025-03-24 00:00:00-04:00,91.01423645019531,91.12184201190735,90.5838142033472,90.80880968600309,8735400,0.0,0.0,0.0
2025-03-25 00:00:00-04:00,90.82837677001953,91.18053909217144,90.44686883156825,91.12184785957274,5241000,0.0,0.0,0.0
2025-03-26 00:00:00-04:00,91.11205291748047,91.41530086839276,90.86749619235017,90.86749619235017,1905700,0.0,0.0,0.0
2025-03-27 00:00:00-04:00,91.43487548828125,91.65986351048866,90.99466887666246,91.13162751779323,1986300,0.0,0.0,0.0
2025-03-28 00:00:00-04:00,90.72076416015625,91.56203992408179,90.64251167719145,91.40552749487291,2227900,0.0,0.0,0.0
2025-03-31 00:00:00-04:00,91.62074279785156,91.90442205519743,90.31969911944917,90.31969911944917,2379300,0.0,0.0,0.0
2025-04-01 00:00:00-04:00,91.5522689819336,91.78704885507268,90.89685862846775,91.45444776643248,2538300,0.0,0.0,0.0
