Date,close,high,low,open,volume,dividends,stock splits,capital gains
2024-09-25 00:00:00-04:00,,,,,0,0.44,0.0,0.0
2024-09-26 00:00:00-04:00,199.83460998535156,201.71205627732752,198.949942125895,201.46631770503825,577900,0.0,0.0,0.0
2024-09-27 00:00:00-04:00,198.49778747558594,199.8444300244934,198.10459676878284,199.8444300244934,524700,0.0,0.0,0.0
2024-09-30 00:00:00-04:00,199.30380249023438,199.34312906032247,196.93489409729736,197.73108465662438,555300,0.0,0.0,0.0
2024-10-01 00:00:00-04:00,198.19308471679688,199.1072250367569,197.3280801139759,198.989275317715,844600,0.0,0.0,0.0
2024-10-02 00:00:00-04:00,198.77304077148438,199.1760556768002,197.17082029342495,197.79991051202046,455900,0.0,0.0,0.0
2024-10-03 00:00:00-04:00,198.36019897460938,199.3333142219029,197.62298318183855,198.3503598315418,373100,0.0,0.0,0.0
2024-10-04 00:00:00-04:00,200.2867431640625,200.47350686257252,198.40931203383482,199.46106523256742,360000,0.0,0.0,0.0
2024-10-07 00:00:00-04:00,198.85166931152344,200.25728684188798,198.27172984089862,199.87393524281646,463200,0.0,0.0,0.0
2024-10-08 00:00:00-04:00,200.82740783691406,201.2009353024935,199.37263954792644,199.37263954792644,524300,0.0,0.0,0.0
2024-10-09 00:00:00-04:00,202.43943786621094,202.66551315868273,200.4833683815031,200.82739339201365,529000,0.0,0.0,0.0
2024-10-10 00:00:00-04:00,201.50564575195312,202.23303738492882,200.98468113600208,202.1347359484993,450200,0.0,0.0,0.0
2024-10-11 00:00:00-04:00,203.82540893554688,203.8745596514157,201.34835984294557,201.34835984294557,546700,0.0,0.0,0.0
2024-10-14 00:00:00-04:00,205.39813232421875,205.57505689470906,204.2579017631967,204.5724393325213,343900,0.0,0.0,0.0
2024-10-15 00:00:00-04:00,203.30445861816406,206.10586963505872,203.10787073957923,205.86013103715425,581600,0.0,0.0,0.0
