Date,open,high,low,close,volume,dividends,stock splits,capital gains
2024-09-19 00:00:00-04:00,102.54238950043003,102.91415703044648,102.49591590009953,102.88626861572266,1789600,0.0,0.0,0.0
2024-09-20 00:00:00-04:00,102.70967922928416,102.86767811684562,102.53308806620049,102.74685668945312,1088700,0.0,0.0,0.0
2024-09-23 00:00:00-04:00,102.57026145999752,102.86767403868286,102.4122625786999,102.75614166259766,1208900,0.0,0.0,0.0
2024-09-24 00:00:00-04:00,102.67249767023188,103.06285035010907,102.58884661547235,103.00708770751953,1880400,0.0,0.0,0.0
2024-09-25 00:00:00-04:00,102.81192899791944,102.82121804602713,102.59816034654351,102.61675262451172,1181600,0.0,0.0,0.0
2024-09-26 00:00:00-04:00,102.59815042638822,102.63532788785355,102.33791528700655,102.48661804199219,2141700,0.0,0.0,0.0
2024-09-27 00:00:00-04:00,102.68180144017956,102.83980033317779,102.60744651728308,102.73756408691406,892400,0.0,0.0,0.0
2024-09-30 00:00:00-04:00,102.7468707996897,102.78404117408779,102.4866285427679,102.67251586914062,1592400,0.0,0.0,0.0
2024-10-01 00:00:00-04:00,102.96280523863102,103.30706453674692,102.92558667421288,103.00932312011719,3069000,0.122,0.0,0.0
2024-10-02 00:00:00-04:00,102.71157647988237,102.9814057341546,102.63713935483175,102.91627502441406,2561600,0.0,0.0,0.0
2024-10-03 00:00:00-04:00,102.70226238963215,102.93487306399611,102.46035239936805,102.47895812988281,1590600,0.0,0.0,0.0
2024-10-04 00:00:00-04:00,101.96722127636897,102.08818338144906,101.76252982683937,101.78113555908203,1919500,0.0,0.0,0.0
2024-10-07 00:00:00-04:00,101.61365507494831,101.75322291158555,101.5671371952126,101.66947937011719,1643900,0.0,0.0,0.0
2024-10-08 00:00:00-04:00,101.49270815567117,101.85558030061102,101.45548958968816,101.83696746826172,1951200,0.0,0.0,0.0
2024-10-09 00:00:00-04:00,101.5485372490386,101.67879868677052,101.42758222792065,101.65088653564453,2538600,0.0,0.0,0.0
2024-10-10 00:00:00-04:00,101.66949035572223,101.87418892507962,101.59506032035975,101.85558319091797,1854500,0.0,0.0,0.0
2024-10-11 00:00:00-04:00,101.80905965153752,102.05097679136551,101.74392893297414,101.8648910522461,1716200,0.0,0.0,0.0
2024-10-14 00:00:00-04:00,101.5113115552847,101.79044724438143,101.50200513932403,101.76253509521484,1095800,0.0,0.0,0.0
2024-10-15 00:00:00-04:00,101.83697271627867,102.0137591391295,101.79976124709364,101.87419128417969,911200,0.0,0.0,0.0
2024-10-16 00:00:00-04:00,102.00444033948018,102.02305317052915,101.86487960018854,101.89279174804688,681000,0.0,0.0,0.0
2024-10-17 00:00:00-04:00,101.64157869600166,101.72532224692314,101.52062367657715,101.58575439453125,1163900,0.0,0.0,0.0
2024-10-18 00:00:00-04:00,101.72531508511662,101.86488292768247,101.72531508511662,101.75322723388672,964800,0.0,0.0,0.0
2024-10-21 00:00:00-04:00,101.47409586011935,101.50200801007536,100.99026869721196,101.01818084716797,1783100,0.0,0.0,0.0
2024-10-22 00:00:00-04:00,101.23219012624298,101.29732084514428,101.06471012068023,101.15775299072266,1464100,0.0,0.0,0.0
2024-10-23 00:00:00-04:00,100.93443627523364,100.98095415517852,100.77625560701874,100.9065170288086,1311000,0.0,0.0,0.0
2024-10-24 00:00:00-04:00,100.96237035457912,101.19498110097793,100.89723962953612,101.0088882446289,1505000,0.0,0.0,0.0
2024-10-25 00:00:00-04:00,101.12983558125737,101.12983558125737,100.69252630620862,100.73904418945312,1677500,0.0,0.0,0.0
2024-10-28 00:00:00-04:00,100.68320032737094,100.69250674169784,100.376152543011,100.54363250732422,1848300,0.0,0.0,0.0
2024-10-29 00:00:00-04:00,100.33894733726875,100.71112587401717,100.21799232977946,100.69252014160156,8300200,0.0,0.0,0.0
2024-10-30 00:00:00-04:00,100.79487370147783,101.19496440321512,100.77626086955583,100.8879165649414,1174900,0.0,0.0,0.0
2024-10-31 00:00:00-04:00,100.79488083861102,100.94374801095073,100.56227011412354,100.7762680053711,3683800,0.0,0.0,0.0
2024-11-01 00:00:00-04:00,100.90571596320923,101.02677046538258,100.26318006459086,100.34699249267578,2613400,0.089,0.0,0.0
2024-11-04 00:00:00-05:00,100.7846309078269,100.84050110657668,100.38421123949823,100.51457977294922,1901900,0.0,0.0,0.0
2024-11-05 00:00:00-05:00,100.43078000096304,100.71014523895084,100.22591310704574,100.60771179199219,3188100,0.0,0.0,0.0
2024-11-06 00:00:00-05:00,100.03036162226807,100.67289741551545,99.99311244973384,100.44940948486328,1828500,0.0,0.0,0.0
