Date,open,high,low,close,volume,dividends,stock splits,capital gains
2024-03-18 00:00:00-04:00,23.11799657917354,23.15631987219,22.964707061818086,23.022192001342773,25822800,0.0,0.0,0.0
2024-03-19 00:00:00-04:00,22.87847837459297,22.964703944821423,22.71560805608977,22.9072208404541,23460700,0.0,0.0,0.0
2024-03-20 00:00:00-04:00,22.93596605891873,23.137157862027372,22.878481120297554,23.117996215820312,33523100,0.0,0.0,0.0
2024-03-21 00:00:00-04:00,23.16589898786789,23.204220450704454,23.012609481811523,23.012609481811523,35387700,0.0,0.0,0.0
2024-03-22 00:00:00-04:00,22.69644758193002,22.763511506307943,22.619802835875984,22.686866760253906,38799800,0.0,0.0,0.0
2024-03-25 00:00:00-04:00,22.68686795761144,22.820995813446224,22.67728713542967,22.715608596801758,19439600,0.0,0.0,0.0
2024-03-26 00:00:00-04:00,22.926384038598318,22.955124679052908,22.830577639921195,22.840158462524414,21299100,0.0,0.0,0.0
2024-03-27 00:00:00-04:00,22.648544398194428,22.83057636276245,22.591061293145827,22.81141471862793,20691900,0.0,0.0,0.0
2024-03-28 00:00:00-04:00,22.94554442515382,23.175478672953098,22.94554442515382,23.060510635375977,33129900,0.0,0.0,0.0
2024-04-01 00:00:00-04:00,23.41499412634073,23.55870280514969,23.252123803062577,23.376670837402344,38572800,0.0,0.0,0.0
2024-04-02 00:00:00-04:00,23.520380874463974,23.740736143874763,23.4820594106676,23.56828498840332,36013000,0.0,0.0,0.0
2024-04-03 00:00:00-04:00,23.3096077619973,23.46289726864961,23.242543831256295,23.424575805664062,29445200,0.0,0.0,0.0
2024-04-04 00:00:00-04:00,23.625768518457345,23.654510987332742,23.261706382811308,23.30002784729004,41163300,0.0,0.0,0.0
2024-04-05 00:00:00-04:00,23.175479888916016,23.261705464784168,23.13715659859459,23.175479888916016,32450900,0.0,0.0,0.0
2024-04-08 00:00:00-04:00,23.357510113890154,23.472478157883362,23.319188650795795,23.338350296020508,24846600,0.0,0.0,0.0
2024-04-09 00:00:00-04:00,23.443736329093607,23.56828519909422,23.424576510701687,23.558704376220703,25836100,0.0,0.0,0.0
2024-04-10 00:00:00-04:00,23.49163923458311,23.58744563103298,23.338349731205327,23.443735122680664,36946100,0.0,0.0,0.0
2024-04-11 00:00:00-04:00,23.750316686949713,23.779057327619736,23.50122077946408,23.664091110229492,33454600,0.0,0.0,0.0
2024-04-12 00:00:00-04:00,23.204220584671393,23.204220584671393,22.792256176863386,22.840158462524414,73616000,0.0,0.0,0.0
2024-04-15 00:00:00-04:00,23.20422073046754,23.21380155313096,22.85932025135993,22.91680335998535,47202300,0.0,0.0,0.0
2024-04-16 00:00:00-04:00,22.74435007306875,22.849737285124704,22.629383866603074,22.67728614807129,47788300,0.0,0.0,0.0
2024-04-17 00:00:00-04:00,22.811416340318463,22.830577985815207,22.629386190164663,22.658126831054688,36308700,0.0,0.0,0.0
2024-04-18 00:00:00-04:00,22.964704033017977,23.137155174137188,22.945544216391912,23.070091247558594,40749000,0.0,0.0,0.0
2024-04-19 00:00:00-04:00,22.945545761170845,23.041350332815924,22.897641647993233,23.003028869628906,32792100,0.0,0.0,0.0
2024-04-22 00:00:00-04:00,23.098835770383882,23.40541479195985,23.031771837833528,23.39583396911621,42035500,0.0,0.0,0.0
2024-04-23 00:00:00-04:00,23.568286248122025,23.769478055355624,23.539543778222143,23.759897232055664,32627200,0.0,0.0,0.0
2024-04-24 00:00:00-04:00,24.162279986118982,24.229345741758465,24.05689459625264,24.21018409729004,44860500,0.0,0.0,0.0
2024-04-25 00:00:00-04:00,24.056894678998063,24.39221432157386,24.056894678998063,24.37305450439453,43059100,0.0,0.0,0.0
2024-04-26 00:00:00-04:00,24.83292311242724,24.938310330449614,24.679633610224695,24.78502082824707,47815200,0.0,0.0,0.0
2024-04-29 00:00:00-04:00,24.804181080885478,25.024536343105087,24.746697973389292,25.014955520629883,36479100,0.0,0.0,0.0
2024-04-30 00:00:00-04:00,24.650891824969758,24.70837676040159,24.420957565307617,24.420957565307617,51947300,0.0,0.0,0.0
2024-05-01 00:00:00-04:00,24.545504186608987,24.8329215280625,24.45927861870196,24.60298728942871,46174700,0.0,0.0,0.0
2024-05-02 00:00:00-04:00,25.350275148887924,26.13588614498993,25.340696153775923,26.011337280273438,98520800,0.0,0.0,0.0
2024-05-03 00:00:00-04:00,26.116724369980314,26.202949944399194,25.92511157630391,26.183788299560547,55429900,0.0,0.0,0.0
2024-05-06 00:00:00-04:00,26.250852650999864,26.317916581657833,26.049660859025952,26.164627075195312,39772500,0.0,0.0,0.0
2024-05-07 00:00:00-04:00,25.867627950536185,25.896370417217913,25.771821555618757,25.790983200073242,40352200,0.0,0.0,0.0
2024-05-08 00:00:00-04:00,25.474825537735374,25.704759808635952,25.44608306861462,25.695178985595703,27739900,0.0,0.0,0.0
2024-05-09 00:00:00-04:00,26.18378865434992,26.26043340738801,26.03049914827374,26.250852584838867,43598200,0.0,0.0,0.0
2024-05-10 00:00:00-04:00,26.749043916561668,26.81610784585545,26.50952883916672,26.605335235595703,46321500,0.0,0.0,0.0
2024-05-13 00:00:00-04:00,26.950234199334652,27.266394010744982,26.940655204846237,27.170589447021484,48230800,0.0,0.0,0.0
2024-05-14 00:00:00-04:00,26.854429664337047,26.969395871870187,26.796944733215554,26.835268020629883,42197500,0.0,0.0,0.0
2024-05-15 00:00:00-04:00,27.103528054222814,27.161011163299534,26.883172785944392,27.141849517822266,35736500,0.0,0.0,0.0
2024-05-16 00:00:00-04:00,27.50591055229658,27.975361711062803,27.371782693994813,27.93703842163086,65472500,0.0,0.0,0.0
2024-05-17 00:00:00-04:00,27.94662122221551,28.291523542097153,27.83165317313658,28.099910736083984,46272600,0.0,0.0,0.0
2024-05-20 00:00:00-04:00,27.80291196908264,27.965782302693313,27.745427032028207,27.793331146240234,30494200,0.0,0.0,0.0
2024-05-21 00:00:00-04:00,27.381363335263075,27.496331375443532,27.247235477848374,27.362201690673828,43743600,0.0,0.0,0.0
2024-05-22 00:00:00-04:00,27.256816637715144,27.31429974483979,26.998139914621685,27.017301559448242,41732700,0.0,0.0,0.0
2024-05-23 00:00:00-04:00,26.825689798556226,26.92149619902209,26.40414273291949,26.471206665039062,49548000,0.0,0.0,0.0
2024-05-24 00:00:00-04:00,26.32749530603489,26.519108087519797,26.270012202531387,26.423301696777344,24413800,0.0,0.0,0.0
2024-05-28 00:00:00-04:00,26.49036795629123,26.58617435547567,26.327497625884202,26.404142379760742,25480400,0.0,0.0,0.0
2024-05-29 00:00:00-04:00,25.915531591970108,26.04008046009408,25.877210128408564,25.98259735107422,38699400,0.0,0.0,0.0
2024-05-30 00:00:00-04:00,25.6855966258142,26.040079747674557,25.656855985768118,26.011337280273438,25910800,0.0,0.0,0.0
2024-05-31 00:00:00-04:00,25.436502596102912,25.561051469987376,25.311955549573618,25.513147354125977,43801200,0.0,0.0,0.0
2024-06-03 00:00:00-04:00,25.83888518755134,25.92511075925275,25.4844039059833,25.637693405151367,28674300,0.0,0.0,0.0
2024-06-04 00:00:00-04:00,25.877209551047912,25.963435126331422,25.69517757796549,25.838886260986328,25226600,0.0,0.0,0.0
2024-06-05 00:00:00-04:00,25.944274202509533,26.059242248535156,25.848467802047363,26.059242248535156,26237000,0.0,0.0,0.0
2024-06-06 00:00:00-04:00,26.05924245921172,26.08798310043416,25.8580488338791,26.04966163635254,20872800,0.0,0.0,0.0
2024-06-07 00:00:00-04:00,25.685597594005092,25.73350170814599,25.388599395751953,25.388599395751953,44844400,0.0,0.0,0.0
2024-06-10 00:00:00-04:00,25.493984936936716,25.68559589878891,25.388597720137266,25.62811279296875,26281600,0.0,0.0,0.0
2024-06-11 00:00:00-04:00,25.575253974683562,25.584865338366075,25.34458674584385,25.440696716308594,23488300,0.085,0.0,0.0
2024-06-12 00:00:00-04:00,25.536808087701004,25.604085799159613,25.354195847184673,25.38302993774414,29442200,0.0,0.0,0.0
2024-06-13 00:00:00-04:00,25.51758583101403,25.61369763480369,25.26769770761318,25.363807678222656,22070100,0.0,0.0,0.0
2024-06-14 00:00:00-04:00,25.200417808116747,25.258085989489437,25.094696475293794,25.152362823486328,27515600,0.0,0.0,0.0
2024-06-17 00:00:00-04:00,25.34458604752114,25.488752832426194,25.277306503597327,25.46953010559082,25548900,0.0,0.0,0.0
2024-06-18 00:00:00-04:00,25.392641460394824,25.584865065635604,25.325363748514597,25.527196884155273,21648100,0.0,0.0,0.0
2024-06-20 00:00:00-04:00,25.892421217645648,25.940476202087684,25.7001976135172,25.834753036499023,36649700,0.0,0.0,0.0
2024-06-21 00:00:00-04:00,25.575253306340127,25.632919653748047,25.392641067504883,25.392641067504883,33434400,0.0,0.0,0.0
2024-06-24 00:00:00-04:00,25.594472620614418,25.902030731897888,25.594472620614418,25.680973052978516,31018900,0.0,0.0,0.0
2024-06-25 00:00:00-04:00,25.53680758214873,25.565641672137367,25.411863525224852,25.479141235351562,25099700,0.0,0.0,0.0
2024-06-26 00:00:00-04:00,25.498363728353777,25.54641871138104,25.402251929119156,25.488752365112305,15806500,0.0,0.0,0.0
2024-06-27 00:00:00-04:00,25.152363881706517,25.171586609639494,24.864030295432805,24.883251190185547,41320500,0.0,0.0,0.0
2024-06-28 00:00:00-04:00,25.104308383631697,25.104308383631697,24.92169613834905,24.97936248779297,22894100,0.0,0.0,0.0
2024-07-01 00:00:00-04:00,25.171583907392446,25.24847297768984,25.056249385356338,25.065860748291016,24294500,0.0,0.0,0.0
2024-07-02 00:00:00-04:00,25.238862686796057,25.411863560608555,25.171584976575666,25.402252197265625,23659500,0.0,0.0,0.0
2024-07-03 00:00:00-04:00,25.594473985093813,25.89242074942303,25.594473985093813,25.853975296020508,29692800,0.0,0.0,0.0
2024-07-05 00:00:00-04:00,25.402251963771786,25.4503069468646,25.200417001785738,25.411863327026367,41917200,0.0,0.0,0.0
2024-07-08 00:00:00-04:00,25.21002960205078,25.229252329503172,25.123529161695213,25.21002960205078,23113200,0.0,0.0,0.0
